position,title
Q2413909,Governor
Q109772097,Deputy Governor
Q3247884,Premier
Q109772111,Deputy Premier
Q109772114,Minister for Border Control & Labour
Q109772072,Minister for District Administration & Lands
Q109772071,Minister for Education
Q109772116,Minister for Finance & Economic Development
Q109772133,Minister for Financial Services & Commerce
Q109772067,Minister for Health & Wellness
Q109772126,Minister for Home Affairs
Q109772131,"Minister for Investment, Innovation & Social Development"
Q109772090,"Minister for Planning, Agriculture, Housing, & Infrastructure"
Q109772093,Minister for Sustainability & Climate Resiliency
Q109772069,Minister for Tourism & Transport
Q109772123,"Minister for Youth, Sports, Culture & Heritage"
Q107333351,Attorney General
Q109769750,Speaker of the Parliament
